x,m2_A,m2_B,similarity
0.000000,0.000000,1.000000,0.000000
0.010000,0.010000,0.990000,0.010100
0.020000,0.020000,0.980000,0.020404
0.030000,0.030000,0.970000,0.030913
0.040000,0.040000,0.960000,0.041631
0.050000,0.050000,0.950000,0.052559
0.060000,0.060000,0.940000,0.063700
0.070000,0.070000,0.930000,0.075057
0.080000,0.080000,0.920000,0.086630
0.090000,0.090000,0.910000,0.098421
0.100000,0.100000,0.900000,0.110432
0.110000,0.110000,0.890000,0.122662
0.120000,0.120000,0.880000,0.135113
0.130000,0.130000,0.870000,0.147785
0.140000,0.140000,0.860000,0.160676
0.150000,0.150000,0.850000,0.173785
0.160000,0.160000,0.840000,0.187112
0.170000,0.170000,0.830000,0.200654
0.180000,0.180000,0.820000,0.214407
0.190000,0.190000,0.810000,0.228369
0.200000,0.200000,0.800000,0.242536
0.210000,0.210000,0.790000,0.256901
0.220000,0.220000,0.780000,0.271460
0.230000,0.230000,0.770000,0.286206
0.240000,0.240000,0.760000,0.301131
0.250000,0.250000,0.750000,0.316228
0.260000,0.260000,0.740000,0.331486
0.270000,0.270000,0.730000,0.346896
0.280000,0.280000,0.720000,0.362446
0.290000,0.290000,0.710000,0.378125
0.300000,0.300000,0.700000,0.393919
0.310000,0.310000,0.690000,0.409815
0.320000,0.320000,0.680000,0.425797
0.330000,0.330000,0.670000,0.441850
0.340000,0.340000,0.660000,0.457957
0.350000,0.350000,0.650000,0.474100
0.360000,0.360000,0.640000,0.490261
0.370000,0.370000,0.630000,0.506422
0.380000,0.380000,0.620000,0.522562
0.390000,0.390000,0.610000,0.538662
0.400000,0.400000,0.600000,0.554700
0.410000,0.410000,0.590000,0.570657
0.420000,0.420000,0.580000,0.586510
0.430000,0.430000,0.570000,0.602239
0.440000,0.440000,0.560000,0.617822
0.450000,0.450000,0.550000,0.633238
0.460000,0.460000,0.540000,0.648466
0.470000,0.470000,0.530000,0.663487
0.480000,0.480000,0.520000,0.678280
0.490000,0.490000,0.510000,0.692826
0.500000,0.500000,0.500000,0.707107
0.510000,0.510000,0.490000,0.721105
0.520000,0.520000,0.480000,0.734803
0.530000,0.530000,0.470000,0.748188
0.540000,0.540000,0.460000,0.761243
0.550000,0.550000,0.450000,0.773957
0.560000,0.560000,0.440000,0.786318
0.570000,0.570000,0.430000,0.798316
0.580000,0.580000,0.420000,0.809942
0.590000,0.590000,0.410000,0.821189
0.600000,0.600000,0.400000,0.832050
0.610000,0.610000,0.390000,0.842522
0.620000,0.620000,0.380000,0.852601
0.630000,0.630000,0.370000,0.862286
0.640000,0.640000,0.360000,0.871576
0.650000,0.650000,0.350000,0.880471
0.660000,0.660000,0.340000,0.888975
0.670000,0.670000,0.330000,0.897089
0.680000,0.680000,0.320000,0.904819
0.690000,0.690000,0.310000,0.912169
0.700000,0.700000,0.300000,0.919145
0.710000,0.710000,0.290000,0.925755
0.720000,0.720000,0.280000,0.932005
0.730000,0.730000,0.270000,0.937904
0.740000,0.740000,0.260000,0.943460
0.750000,0.750000,0.250000,0.948683
0.760000,0.760000,0.240000,0.953583
0.770000,0.770000,0.230000,0.958168
0.780000,0.780000,0.220000,0.962450
0.790000,0.790000,0.210000,0.966438
0.800000,0.800000,0.200000,0.970143
0.810000,0.810000,0.190000,0.973575
0.820000,0.820000,0.180000,0.976744
0.830000,0.830000,0.170000,0.979662
0.840000,0.840000,0.160000,0.982339
0.850000,0.850000,0.150000,0.984784
0.860000,0.860000,0.140000,0.987007
0.870000,0.870000,0.130000,0.989020
0.880000,0.880000,0.120000,0.990830
0.890000,0.890000,0.110000,0.992448
0.900000,0.900000,0.100000,0.993884
0.910000,0.910000,0.090000,0.995145
0.920000,0.920000,0.080000,0.996241
0.930000,0.930000,0.070000,0.997179
0.940000,0.940000,0.060000,0.997969
0.950000,0.950000,0.050000,0.998618
0.960000,0.960000,0.040000,0.999133
0.970000,0.970000,0.030000,0.999522
0.980000,0.980000,0.020000,0.999792
0.990000,0.990000,0.010000,0.999949
1.000000,1.000000,0.000000,1.000000
